"Species"	"Genus"	"Family"	"Order"	"Class"	"Phylum"	"Domain"
"2-01-FULL-45-10-A sp"	"2-01-FULL-45-10-A"	"2-01-FULL-45-10"	"UBA1560"	"Koll11"	"Omnitrophota"	"Bacteria"
"2-01-FULL-45-10-B sp"	"2-01-FULL-45-10-B"	"UBA10009"	"UBA1558"	"ABY1"	"Patescibacteria"	"Bacteria"
"2-01-FULL-45-10 sp"	"2-01-FULL-45-10"	"2-01-FULL-45-10"	"UBA1560"	"Koll11"	"Omnitrophota"	"Bacteria"
"2-01-FULL-45-11 sp"	"2-01-FULL-45-11"	"2-01-FULL-45-11"	"UBA1400"	"Microgenomatia"	"Patescibacteria"	"Bacteria"
"2-01-FULL-45-18 sp"	"2-01-FULL-45-18"	"O2-02-FULL-48-8"	"UBA920"	"Doudnabacteria"	"Patescibacteria"	"Bacteria"
"2-01-FULL-45-33 sp"	"2-01-FULL-45-33"	"2-01-FULL-45-33"	"WO2-41-13"	"Paceibacteria"	"Patescibacteria"	"Bacteria"
"2-01-FULL-46-13 sp"	"2-01-FULL-46-13"	"UBA11713"	"WO2-41-13"	"Paceibacteria"	"Patescibacteria"	"Bacteria"
"2-01-FULL-46-14-A sp"	"2-01-FULL-46-14-A"	"UBA927"	"UBA10105"	"Microgenomatia"	"Patescibacteria"	"Bacteria"
"2-01-FULL-46-14 sp"	"2-01-FULL-46-14"	"2-01-FULL-46-14"	"UBA920"	"Doudnabacteria"	"Patescibacteria"	"Bacteria"
"2-01-FULL-47-10-A sp"	"2-01-FULL-47-10-A"	"GWA2-42-14"	"Sungbacterales"	"Paceibacteria"	"Patescibacteria"	"Bacteria"
"2-01-FULL-47-10 sp"	"2-01-FULL-47-10"	"2-01-FULL-47-10"	"2-01-FULL-47-10"	"Paceibacteria"	"Patescibacteria"	"Bacteria"
"2-01-FULL-48-10 sp"	"2-01-FULL-48-10"	"Colwellbacteraceae"	"UBA6257"	"Paceibacteria"	"Patescibacteria"	"Bacteria"
"2-01-FULL-48-14 sp"	"2-01-FULL-48-14"	"2-01-FULL-58-14"	"Terrybacterales"	"Paceibacteria"	"Patescibacteria"	"Bacteria"
"2-01-FULL-48-16 sp"	"2-01-FULL-48-16"	"UBA10102"	"Paceibacterales"	"Paceibacteria"	"Patescibacteria"	"Bacteria"
"2-01-FULL-49-10 sp"	"2-01-FULL-49-10"	"UBA10110"	"Kazan-3B-28"	"Kazan-3B-28"	"Patescibacteria"	"Bacteria"
"2-01-FULL-49-14 sp"	"2-01-FULL-49-14"	"Chisholmbacteraceae"	"UBA1400"	"Microgenomatia"	"Patescibacteria"	"Bacteria"
"2-01-FULL-49-17 sp"	"2-01-FULL-49-17"	"GWA2-44-9"	"2-02-FULL-40-12"	"Paceibacteria"	"Patescibacteria"	"Bacteria"
"2-01-FULL-49-22 sp"	"2-01-FULL-49-22"	"UBA10212"	"Saccharimonadales"	"Saccharimonadia"	"Patescibacteria"	"Bacteria"
"2-01-FULL-50-11 sp"	"2-01-FULL-50-11"	"2-01-FULL-50-11"	"UBA920"	"Doudnabacteria"	"Patescibacteria"	"Bacteria"
"2-01-FULL-50-23 sp"	"2-01-FULL-50-23"	"MFAQ01"	"UBA1400"	"Microgenomatia"	"Patescibacteria"	"Bacteria"
"2-01-FULL-50-24 sp"	"2-01-FULL-50-24"	"01-FULL-45-10b"	"Omnitrophales"	"Omnitrophia"	"Omnitrophota"	"Bacteria"
"2-01-FULL-50-25 sp"	"2-01-FULL-50-25"	"HO2-52-23"	"Sungbacterales"	"Paceibacteria"	"Patescibacteria"	"Bacteria"
"2-01-FULL-50-28 sp"	"2-01-FULL-50-28"	"Chisholmbacteraceae"	"UBA1400"	"Microgenomatia"	"Patescibacteria"	"Bacteria"
"2-01-FULL-51-10 sp"	"2-01-FULL-51-10"	"UBA1539"	"UBA9983"	"Paceibacteria"	"Patescibacteria"	"Bacteria"
"2-01-FULL-51-21 sp"	"2-01-FULL-51-21"	"UBA2163"	"UBA9983"	"Paceibacteria"	"Patescibacteria"	"Bacteria"
"2-01-FULL-51-34 sp"	"2-01-FULL-51-34"	"GWA2-42-14"	"Sungbacterales"	"Paceibacteria"	"Patescibacteria"	"Bacteria"
"2-01-FULL-52-15 sp"	"2-01-FULL-52-15"	"2-01-FULL-52-15"	"UBA1558"	"ABY1"	"Patescibacteria"	"Bacteria"
"2-01-FULL-53-15 sp"	"2-01-FULL-53-15"	"XYB2-FULL-48-7"	"O2-12-FULL-45-9"	"WOR-1"	"Margulisbacteria"	"Bacteria"
"2-01-FULL-56-20 sp"	"2-01-FULL-56-20"	"2-01-FULL-56-20"	"UBA6257"	"Paceibacteria"	"Patescibacteria"	"Bacteria"
"2-01-FULL-58-14 sp"	"2-01-FULL-58-14"	"2-01-FULL-58-14"	"Terrybacterales"	"Paceibacteria"	"Patescibacteria"	"Bacteria"
"2-01-FULL-59-12 sp"	"2-01-FULL-59-12"	"2-01-FULL-59-12"	"2-01-FULL-59-12"	"Elusimicrobia"	"Elusimicrobiota"	"Bacteria"
"2-01-FULL-60-11 sp"	"2-01-FULL-60-11"	"2-01-FULL-60-11"	"2-02-FULL-39-32"	"Elusimicrobia"	"Elusimicrobiota"	"Bacteria"
"2-01-FULL-63-20 sp"	"2-01-FULL-63-20"	"GWF2-40-263"	"SG8-24"	"ABY1"	"Patescibacteria"	"Bacteria"
"2-01-FULL-64-13 sp"	"2-01-FULL-64-13"	"2-01-FULL-60-11"	"2-02-FULL-39-32"	"Elusimicrobia"	"Elusimicrobiota"	"Bacteria"
"2-01-FULL-66-17 sp"	"2-01-FULL-66-17"	"2-01-FULL-66-17"	"2-01-FULL-66-17"	"Nitrospiria"	"Nitrospirota"	"Bacteria"
"2-02-FULL-34-10 sp"	"2-02-FULL-34-10"	"Staskawiczbacteraceae"	"Paceibacterales"	"Paceibacteria"	"Patescibacteria"	"Bacteria"
